Ticks,Latitude,Longitude,Satellites
967210,41.15114,-73.42751,4
968235,41.15114,-73.42751,4
969251,41.15112,-73.42751,4
970266,41.15112,-73.42751,4
971282,41.15112,-73.42751,4
972298,41.1511,-73.42751,4
973317,41.1511,-73.42751,4
974330,41.1511,-73.42751,4
975345,41.1511,-73.42751,4
976365,41.1511,-73.42751,4
977379,41.1511,-73.42751,4
978387,41.1511,-73.42751,4
979396,41.1511,-73.42751,4
980411,41.1511,-73.42751,4
981428,41.1511,-73.42751,4
982446,41.15107,-73.42746,4
983468,41.15107,-73.42746,4
984486,41.15107,-73.42744,4
985511,41.15107,-73.42744,4
986529,41.15107,-73.42744,4
987544,41.15107,-73.42744,4
988558,41.15107,-73.42744,4
989570,41.15107,-73.42744,4
990579,41.15107,-73.42744,4
991595,41.15107,-73.42744,4
992617,41.15107,-73.42744,4
993627,41.15107,-73.42744,4
994637,41.15091,-73.42736,4
995669,41.15091,-73.42736,4
996686,41.15091,-73.42736,4
997701,41.15091,-73.42736,4
998708,41.15091,-73.42736,4
999723,41.15091,-73.42736,4
